,t,no,desc,decision,age,vmt,ypd,value
225,2021,30007.0,2008 FORD CROWN VICTORIA',2008,12.0,157181.0,-13,{2021: 0.4621430506434899}
226,2021,30008.0,2008 FORD CROWN VICTORIA',2008,12.0,185267.0,-13,{2021: 0.4862283362366707}
227,2021,30014.0,2008 FORD CROWN VICTORIA',2008,12.0,119977.0,-13,{2021: 0.408967338961318}
228,2021,30018.0,2008 FORD CROWN VICTORIA',2008,12.0,158036.0,-13,{2021: 0.4413230707669393}
229,2021,30021.0,2008 FORD CROWN VICTORIA',2008,12.0,130689.0,-13,{2021: 0.4077057704866838}
230,2021,30023.0,2008 CHEVROLET SUBURBAN',2008,12.0,131210.0,-13,{2021: 0.41535889992577407}
231,2021,30025.0,2008 CHEVROLET SUBURBAN',2008,12.0,117658.0,-13,{2021: 0.4142050983265357}
232,2021,30031.0,2008 CHEVROLET SUBURBAN',2008,12.0,135918.0,-13,{2021: 0.4293964430708179}
233,2021,30032.0,2008 CHEVROLET SUBURBAN',2008,12.0,167640.0,-13,{2021: 0.4609104171735249}
234,2021,30034.0,2008 CHEVROLET SUBURBAN',2008,12.0,192926.0,-13,{2021: 0.4736125633159886}
235,2021,30036.0,2008 FORD FUSION',2008,12.0,136294.0,-13,{2021: 0.45417748421062176}
236,2021,30044.0,2008 FORD FUSION',2008,12.0,124352.0,-13,{2021: 0.43801929395794664}
237,2021,30045.0,2008 FORD FUSION',2008,12.0,52490.0,-13,{2021: 0.3467107875467586}
238,2021,30046.0,2008 FORD FUSION',2008,12.0,80295.0,-13,{2021: 0.3709808492751913}
239,2021,30048.0,2008 FORD FUSION',2008,12.0,64723.0,-13,{2021: 0.3598876543738174}
240,2021,30049.0,2008 FORD FUSION',2008,12.0,156132.0,-13,{2021: 0.45887797488242166}
241,2021,30050.0,2008 FORD FUSION',2008,12.0,74563.0,-13,{2021: 0.37170134904804086}
242,2021,30060.0,2008 FORD FUSION',2008,12.0,181955.0,-13,{2021: 0.4690363405224758}
243,2021,30061.0,2007 CHEVROLET VAN CARGO',2008,12.0,75244.0,-13,{2021: 0.37520551886176706}
244,2021,30064.0,2008 FORD E250',2008,12.0,133952.0,-13,{2021: 0.4307730603304837}
