equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type,replacement_vehicle_annual_maintenance
R1301,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,36725,0,1023.6,0,103,0,R8200,Ford Fusion,36000,103,PHEV,1023.6
R1302,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,44734,0,1023.6,0,103,0,R8201,Ford Fusion,36000,103,PHEV,1023.6
R1303,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,53173,0,1023.6,0,103,0,R8202,Ford Fusion,36000,103,PHEV,1023.6
R1304,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,50396,0,1023.6,0,103,0,R8203,Ford Fusion,36000,103,PHEV,1023.6
R1305,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,50900,0,1023.6,0,103,0,R8204,Ford Fusion,36000,103,PHEV,1023.6
R1306,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,37558,0,1023.6,0,103,0,R8205,Ford Fusion,36000,103,PHEV,1023.6
R1307,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,17017,0,1023.6,0,103,0,R8206,Ford Fusion,36000,103,PHEV,1023.6
R1308,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,27423,0,1023.6,0,103,0,R8207,Ford Fusion,36000,103,PHEV,1023.6
R1309,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,33501,0,1023.6,0,103,0,R8208,Ford Fusion,36000,103,PHEV,1023.6
R1310,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,22404,0,1023.6,0,103,0,R8209,Ford Fusion,36000,103,PHEV,1023.6
R1311,Ford Fusion,PHEV,Police Department - Administrative/Technical Services,10151502,12/31/2021,0,36000,36000,5637,0,1023.6,0,103,0,R8210,Ford Fusion,36000,103,PHEV,1023.6
R1312,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,23881,0,1023.6,0,103,0,R8211,Ford Fusion,36000,103,PHEV,1023.6
R1313,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,28283,0,1023.6,0,103,0,R8212,Ford Fusion,36000,103,PHEV,1023.6
R1314,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,36418,0,1023.6,0,103,0,R8213,Ford Fusion,36000,103,PHEV,1023.6
R1315,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,44308,0,1023.6,0,103,0,R8214,Ford Fusion,36000,103,PHEV,1023.6
R1316,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,25325,0,1023.6,0,103,0,R8215,Ford Fusion,36000,103,PHEV,1023.6
R1317,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,50396,0,1023.6,0,103,0,R8216,Ford Fusion,36000,103,PHEV,1023.6
R1318,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,14981,0,1023.6,0,103,0,R8217,Ford Fusion,36000,103,PHEV,1023.6
R1319,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,45189,0,1023.6,0,103,0,R8218,Ford Fusion,36000,103,PHEV,1023.6
R1320,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,42947,0,1023.6,0,103,0,R8219,Ford Fusion,36000,103,PHEV,1023.6
R1321,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,38163,0,1023.6,0,103,0,R8220,Ford Fusion,36000,103,PHEV,1023.6
R1322,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,33301,0,1023.6,0,103,0,R8221,Ford Fusion,36000,103,PHEV,1023.6
R1323,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,16874,0,1023.6,0,103,0,R8222,Ford Fusion,36000,103,PHEV,1023.6
R1324,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,33963,0,1023.6,0,103,0,R8223,Ford Fusion,36000,103,PHEV,1023.6
R1325,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,41593,0,1023.6,0,103,0,R8224,Ford Fusion,36000,103,PHEV,1023.6
R1326,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,24427,0,1023.6,0,103,0,R8225,Ford Fusion,36000,103,PHEV,1023.6
R1327,Ford Fusion,PHEV,Police Department - Operations,10151506,12/31/2021,0,36000,36000,49849,0,1023.6,0,103,0,R8226,Ford Fusion,36000,103,PHEV,1023.6
