equipmentid,vehicledescription,vehicle_type,dept_name,deptid,purchasedate,age2020,purchaseprice,depreceated value,miles2020,cumulative_miles,maintenance2020,cumulative_maintenance,mpg2020,emissions2020,replacementvehicle_id,replacement_vehicle_desc,replacement_vehicle_purchaseprice,replacement_vehicle_mpge,replacement_vehicle_type
31124,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"24,752","137,337",4382.27,14957.72,21,2853.55,R907,Ford Fusion,36000,103,PHEV
31125,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"20,082","110,511",4655.25,12858.31,21,2315.17,R908,Ford Fusion,36000,103,PHEV
31126,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"24,648","94,627",5842.40,14722.61,21,2841.56,R909,Ford Fusion,36000,103,PHEV
31127,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"6,040","116,438",985.53,19420.79,21,696.33,R910,Ford Fusion,36000,103,PHEV
31128,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"11,574","105,916",1476.96,11421.75,21,1334.32,R911,Ford Fusion,36000,103,PHEV
31129,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"20,093","97,011",2595.06,11884.66,21,2316.44,R912,Ford Fusion,36000,103,PHEV
31130,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"1,016","120,084",136.95,13941.32,21,117.13,R913,Ford Fusion,36000,103,PHEV
31131,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"2,922","120,635",523.56,13095.13,21,336.86,R914,Ford Fusion,36000,103,PHEV
31132,2015 FORD TAURUS AWD',ICE,Police Department - Administrative/Technical Services,10151502,3/11/15,5,26574.00,3321.75,"6,556","38,663",657.36,2781.91,21,755.81,R915,Ford Fusion,36000,103,PHEV
31133,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"21,954","120,589",5610.72,18025.96,21,2530.98,R916,Ford Fusion,36000,103,PHEV
31134,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"4,941","111,054",1856.28,18702.83,21,569.63,R917,Ford Fusion,36000,103,PHEV
31135,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/11/15,5,26574.00,3321.75,"2,914","104,890",406.37,14027.41,21,335.94,R918,Ford Fusion,36000,103,PHEV
31136,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/12/15,5,26574.00,3321.75,"5,026","152,820",275.36,16314.83,21,579.43,R919,Ford Fusion,36000,103,PHEV
31137,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"5,823","131,316",506.98,14175.19,21,671.31,R920,Ford Fusion,36000,103,PHEV
31138,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"8,811","133,439",1565.86,12344.04,21,1015.78,R921,Ford Fusion,36000,103,PHEV
31139,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"3,771","125,483",1048.22,15320.60,21,434.74,R922,Ford Fusion,36000,103,PHEV
31140,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"30,294","148,691",4741.55,19884.07,21,3492.47,R923,Ford Fusion,36000,103,PHEV
31143,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"18,128","152,564",4002.42,18356.72,21,2089.90,R924,Ford Fusion,36000,103,PHEV
31145,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"11,149","153,217",869.13,22919.79,21,1285.32,R925,Ford Fusion,36000,103,PHEV
31146,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"20,816","93,477",3177.99,12473.15,21,2399.79,R926,Ford Fusion,36000,103,PHEV
31147,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,4/13/15,5,26574.00,3690.83,"48,335","158,643",8707.74,24984.61,21,5572.34,R927,Ford Fusion,36000,103,PHEV
31149,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"21,803","117,914",6253.95,17897.39,21,2513.57,R928,Ford Fusion,36000,103,PHEV
31150,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"29,860","139,774",6465.20,20780.65,21,3442.43,R929,Ford Fusion,36000,103,PHEV
31151,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"3,930","106,647",77.34,13818.96,21,453.07,R930,Ford Fusion,36000,103,PHEV
31153,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"5,442","122,171",1236.57,16961.57,21,627.38,R931,Ford Fusion,36000,103,PHEV
31154,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"38,968","150,466",9292.17,20734.44,21,4492.45,R932,Ford Fusion,36000,103,PHEV
31155,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"15,849","79,827",644.65,5886.54,21,1827.16,R933,Ford Fusion,36000,103,PHEV
31156,2015 FORD TAURUS AWD',ICE,Police Department - Support Operations,10151507,3/24/15,5,26574.00,3321.75,"24,493","107,299",2764.32,8955.02,21,2823.69,R934,Ford Fusion,36000,103,PHEV
31157,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/24/15,5,26574.00,3321.75,"24,122","90,988",3252.84,11674.54,21,2780.92,R935,Ford Fusion,36000,103,PHEV
31159,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"3,335","117,375",412.79,14354.09,21,384.48,R936,Ford Fusion,36000,103,PHEV
31160,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,4/2/15,5,26574.00,3690.83,"11,143","106,469",1377.24,14365.77,21,1284.63,R937,Ford Fusion,36000,103,PHEV
31161,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"44,570","155,432",8490.61,24587.27,21,5138.28,R938,Ford Fusion,36000,103,PHEV
31162,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"46,535","147,842",8882.66,19849.66,21,5364.82,R939,Ford Fusion,36000,103,PHEV
31163,2015 FORD TAURUS AWD',ICE,Police Department - Operations,10151506,3/13/15,5,26574.00,3321.75,"19,992","87,730",3892.10,15561.88,21,2304.79,R940,Ford Fusion,36000,103,PHEV
31164,2015 MAZDA CX-5',ICE,Police Department - Vice/Narcotics,10151504,3/20/15,5,23095.21,2886.90,"20,519","139,963",1072.32,406.41,27,1839.87,R941,Ford Escape,29000,39,HEV
31165,2014 CHEVROLET IMPALA',ICE,Police Department - Investigative Services,10151503,3/30/15,5,15543.36,1942.92,"19,777","100,595",592.09,5030.52,22,2176.37,R942,Ford Fusion,36000,103,PHEV
31167,2014 Chrysler 200',ICE,Police Department - Investigative Services,10151503,3/30/15,5,13991.61,1748.95,"13,516","82,799",2436.30,6030.17,22,1487.37,R943,Ford Fusion,36000,103,PHEV
31168,2015 Chrysler 200',ICE,Police Department - Investigative Services,10151503,4/17/15,5,17612.36,2446.16,"11,237","56,815",398.22,2647.26,23,1182.82,R944,Ford Fusion,36000,103,PHEV
31169,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,4/28/15,5,28855.00,12290.09,"19,049","78,848",2527.74,7307.75,15,3074.51,R945,Ford F 250 Super Duty XL,42000,14.6,ICE
31170,2015 FORD F250',ICE,DPW: Highways/General Oper/Maintenance,10707502,4/28/15,5,28855.00,12290.09,"13,295","92,725",1359.28,6644.70,15,2145.81,R946,Ford F 250 Super Duty XL,42000,14.6,ICE
31171,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,5/14/15,5,28855.00,12557.27,"7,340","48,075",3.47,2060.26,15,1184.68,R947,Ford F 250 Super Duty XL,42000,14.6,ICE
31172,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,5/14/15,5,28855.00,12557.27,"16,888","94,120",999.35,4459.37,15,2725.72,R948,Ford F 250 Super Duty XL,42000,14.6,ICE
31173,2015 FORD F250',ICE,Property Management - Grounds and Rec Maintenance,10252504,5/14/15,5,28855.00,12557.27,"14,513","68,170",668.12,2701.97,15,2342.40,R949,Ford F 250 Super Duty XL,42000,14.6,ICE
